PID,Tag,Group ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,ALT_1,ALT_2,ALT_3,ALT_4,ALT_5,ALT_6,ALT_7,ALT_8,ALT_9,ALT_10,ALT_11,ALT_12,ALT_13,ALT_14,ALT_15,ALT_16,ALT_17,ALT_18,ALT_19,ALT_20,ALT_21,ALT_22,ALT_23,ALT_24
11,JaMa,Short Baseline,,,,,,,18,25,38,18,0,0,0,3,0,0,0,0,4,9,0,0,11,32,2,0,0,,,,,,,8,61,57,33,20,31,45,40,45,20,31,44,27,26,0
12,HaAb,Short Baseline,,,,,,,6,4,9,8,6,5,6,3,3,0,0,0,0,0,4,1,6,0,1,0,0,,,,,,,0,0,0,1,2,0,12,16,14,10,9,0,0,3,3
13,SaDe,Short Baseline,,,,,,,23,43,40,9,0,1,7,14,13,8,0,0,4,9,9,7,2,13,10,0,0,,,,,,,30,50,35,18,20,11,18,40,45,19,7,17,8,10,8
14,MiSa,Short Baseline,,,,,,,26,29,28,7,0,0,0,0,0,0,0,1,8,5,12,3,0,4,0,0,0,,,,,,,32,43,41,29,32,45,38,40,38,9,16,8,8,0,0
15,MaSz,Short Baseline,,,,,,,10,32,45,11,0,0,0,0,0,0,0,0,10,13,9,12,1,0,4,0,0,,,,,,,14,32,50,56,53,56,58,63,62,28,9,8,6,13,19
16,KaOy,Short Baseline,,,,,,,12,6,18,9,0,0,0,0,1,1,2,0,5,8,11,6,11,1,0,6,0,,,,,,,3,43,45,31,34,45,28,53,51,16,6,9,8,7,0
17,ClAg,Short Baseline,,,,,,,44,53,51,14,0,0,0,4,0,0,0,0,6,9,28,6,8,13,0,3,0,,,,,,,40,57,52,54,37,40,53,58,46,16,7,7,5,14,5
18,JoNe,Short Baseline,,,,,,,6,24,31,35,10,0,0,0,0,0,0,0,3,9,20,4,6,15,0,0,0,,,,,,,0,28,38,35,27,24,26,35,30,26,18,6,13,11,10
19,MiFr,Short Baseline,,,,,,,29,30,48,6,4,0,1,0,1,0,0,0,7,5,7,2,1,5,1,0,0,,,,,,,24,10,19,29,37,16,38,35,45,9,5,4,5,8,17
20,RuDi,Short Baseline,,,,,,,1,7,5,5,0,0,0,0,0,0,0,0,0,2,2,11,9,1,0,0,0,,,,,,,5,25,22,41,50,55,65,69,59,11,4,13,4,11,13
