Time,Uvalue,Phase,id,Group
-2,0.410141473,2,S1,Short
-2,0.410141473,2,S2,Short
-2,0.226813279,2,S3,Short
-2,0.105018982,2,S4,Short
-2,0.433111472,2,S5,Short
-2,0.385515486,2,S6,Short
-2,0.170674923,2,S7,Short
-2,0.474342973,2,S8,Short
-2,0.744567846,2,S9,Short
-2,0.47929894,2,S10,Short
-1,0.808645102,2,S1,Short
-1,0.808645102,2,S2,Short
-1,0.759295864,2,S3,Short
-1,0.060604391,2,S4,Short
-1,0,2,S5,Short
-1,0.319471075,2,S6,Short
-1,0.135979925,2,S7,Short
-1,0.221122451,2,S8,Short
-1,0.556598704,2,S9,Short
-1,0.034425028,2,S10,Short
0,0.235424696,2,S1,Short
0,0.235424696,2,S2,Short
0,0.312775609,2,S3,Short
0,0.109246987,2,S4,Short
0,0,2,S5,Short
0,0.300633968,2,S6,Short
0,0.108989777,2,S7,Short
0,0.111589204,2,S8,Short
0,0.212835441,2,S9,Short
0,0.015530727,2,S10,Short
0,0.840577621,3,S1,Short
0,0.840577621,3,S2,Short
0,0.825212753,3,S3,Short
0,0.945230784,3,S4,Short
0,0.740521258,3,S5,Short
0,0.929630861,3,S6,Short
0,0.920979606,3,S7,Short
0,0.875350333,3,S8,Short
0,0.923233817,3,S9,Short
0,0.820207702,3,S10,Short
1,0.851087818,3,S1,Short
1,0.851087818,3,S2,Short
1,0.863588298,3,S3,Short
1,0.90428767,3,S4,Short
1,0.686813567,3,S5,Short
1,0.960971798,3,S6,Short
1,0.845552106,3,S7,Short
1,0.919205301,3,S8,Short
1,0.848560252,3,S9,Short
1,0.908715314,3,S10,Short
-2,0.041886017,2,L1,Long
-2,0.211056029,2,L2,Long
-2,0.219236739,2,L3,Long
-2,0.135253388,2,L4,Long
-2,0.15076375,2,L5,Long
-2,0.352952855,2,L6,Long
-2,0.730446511,2,L7,Long
-2,0.312865297,2,L8,Long
-2,0.247371073,2,L9,Long
-2,0.200512221,2,L10,Long
-1,0.168287923,2,L1,Long
-1,0,2,L2,Long
-1,0.086256902,2,L3,Long
-1,0,2,L4,Long
-1,0,2,L5,Long
-1,0.081755458,2,L6,Long
-1,0.257712801,2,L7,Long
-1,0,2,L8,Long
-1,0.174032662,2,L9,Long
-1,0,2,L10,Long
0,0.454790722,2,L1,Long
0,0.02935742,2,L2,Long
0,0,2,L3,Long
0,0,2,L4,Long
0,0.032646861,2,L5,Long
0,0.020894218,2,L6,Long
0,0,2,L7,Long
0,0,2,L8,Long
0,0.017608925,2,L9,Long
0,0,2,L10,Long
0,0.718153631,3,L1,Long
0,0.944401858,3,L2,Long
0,0.968825027,3,L3,Long
0,0.961665822,3,L4,Long
0,0.952245295,3,L5,Long
0,0.946941428,3,L6,Long
0,0.759330401,3,L7,Long
0,0.936880159,3,L8,Long
0,0.907913889,3,L9,Long
0,0.663151817,3,L10,Long
1,0.681804533,3,L1,Long
1,0.868640254,3,L2,Long
1,0.56987157,3,L3,Long
1,0.972014239,3,L4,Long
1,0.867560999,3,L5,Long
1,0.899980075,3,L6,Long
1,0.882612635,3,L7,Long
1,0.912785527,3,L8,Long
1,0.9359736,3,L9,Long
1,0.709024131,3,L10,Long
-2,0.750142734,2,N1,A-None
-2,0.621727307,2,N2,A-None
-2,0.088855331,2,N3,A-None
-2,0.192617932,2,N4,A-None
-2,0.705165718,2,N5,A-None
-2,0.496598504,2,N6,A-None
-2,0.183713232,2,N7,A-None
-2,0.29802662,2,N8,A-None
-2,0.631445607,2,N9,A-None
-2,0.589838482,2,N10,A-None
-1,0.851815074,2,N1,A-None
-1,0.28413506,2,N2,A-None
-1,0.083732939,2,N3,A-None
-1,0.077749516,2,N4,A-None
-1,0.522502241,2,N5,A-None
-1,0.045012068,2,N6,A-None
-1,0,2,N7,A-None
-1,0,2,N8,A-None
-1,0.159598394,2,N9,A-None
-1,0.783330059,2,N10,A-None
0,0.053442909,2,N1,A-None
0,0.107012359,2,N2,A-None
0,0,2,N3,A-None
0,0.05193126,2,N4,A-None
0,0.573462522,2,N5,A-None
0,0.03215161,2,N6,A-None
0,0.152815924,2,N7,A-None
0,0,2,N8,A-None
0,0.098393914,2,N9,A-None
0,0.412053275,2,N10,A-None
0,0.933863943,3,N1,A-None
0,0.960764575,3,N2,A-None
0,0.732019984,3,N3,A-None
0,0.939879539,3,N4,A-None
0,0.893924163,3,N5,A-None
0,0.553436282,3,N6,A-None
0,0.756904743,3,N7,A-None
0,0.886816441,3,N8,A-None
0,0.94441333,3,N9,A-None
0,0.641116133,3,N10,A-None
1,0.916587851,3,N1,A-None
1,0.886160222,3,N2,A-None
1,0.786528433,3,N3,A-None
1,0.947019978,3,N4,A-None
1,0.843600665,3,N5,A-None
1,0.953382048,3,N6,A-None
1,0.480200038,3,N7,A-None
1,0.940906468,3,N8,A-None
1,0.937535158,3,N9,A-None
1,0.734936609,3,N10,A-None
