ID,Group,Phase,Response,Time,Angle,Base Angle,Angle Diff
AdMe,Group Long,A,01, 1248, 49,49,0
AdMe,Group Long,A,02, 2381, 306,49,257
AdMe,Group Long,A,02, 5548, 11,49,-38
AdMe,Group Long,A,02, 6765, 13,49,-36
AdMe,Group Long,A,02, 7598, 74,49,25
AdMe,Group Long,A,02, 8532, 80,49,31
AdMe,Group Long,A,02, 9165, 127,49,78
AdMe,Group Long,A,02, 9948, 98,49,49
AdMe,Group Long,A,01, 11132, 43,49,-6
AdMe,Group Long,A,01, 12598, 35,49,-14
AdMe,Group Long,A,01, 13649, 58,49,9
AdMe,Group Long,A,01, 15399, 62,49,13
AdMe,Group Long,A,01, 15899, 68,49,19
AdMe,Group Long,A,01, 17617, 66,49,17
AdMe,Group Long,A,01, 18115, 64,49,15
AdMe,Group Long,A,01, 19816, 57,49,8
AdMe,Group Long,A,01, 20249, 62,49,13
AdMe,Group Long,A,01, 21866, 57,49,8
AdMe,Group Long,A,01, 22282, 66,49,17
AdMe,Group Long,A,01, 23948, 52,49,3
AdMe,Group Long,A,01, 24349, 47,49,-2
AdMe,Group Long,A,01, 25865, 53,49,4
AdMe,Group Long,A,01, 26282, 47,49,-2
AdMe,Group Long,A,01, 27782, 44,49,-5
AdMe,Group Long,A,01, 28149, 47,49,-2
AdMe,Group Long,A,01, 29516, 53,49,4
AdMe,Group Long,A,01, 29883, 48,49,-1
AdMe,Group Long,A,01, 31449, 51,49,2
AdMe,Group Long,A,01, 31833, 48,49,-1
AdMe,Group Long,A,02, 33316, 223,49,174
AdMe,Group Long,A,02, 34200, 321,49,272
AdMe,Group Long,A,01, 34850, 54,49,5
AdMe,Group Long,A,01, 35217, 51,49,2
AdMe,Group Long,A,01, 36416, 46,49,-3
AdMe,Group Long,A,01, 36733, 48,49,-1
AdMe,Group Long,A,01, 37866, 51,49,2
AdMe,Group Long,A,01, 38233, 42,49,-7
AdMe,Group Long,A,01, 39383, 49,49,0
AdMe,Group Long,A,01, 39733, 44,49,-5
AdMe,Group Long,A,01, 40766, 51,49,2
AdMe,Group Long,A,01, 41150, 42,49,-7
AdMe,Group Long,A,01, 42216, 50,49,1
AdMe,Group Long,A,01, 42600, 45,49,-4
AdMe,Group Long,A,02, 44283, 133,49,84
AdMe,Group Long,A,02, 44717, 139,49,90
AdMe,Group Long,A,02, 46183, 223,49,174
AdMe,Group Long,A,02, 46483, 213,49,164
AdMe,Group Long,A,02, 47233, 325,49,276
AdMe,Group Long,A,02, 47600, 333,49,284
AdMe,Group Long,A,02, 48000, 10,49,-39
AdMe,Group Long,A,02, 48300, 13,49,-36
AdMe,Group Long,A,01, 48767, 50,49,1
AdMe,Group Long,A,01, 49134, 52,49,3
AdMe,Group Long,A,01, 50201, 49,49,0
AdMe,Group Long,A,01, 50535, 46,49,-3
AdMe,Group Long,A,01, 51617, 47,49,-2
AdMe,Group Long,A,01, 51951, 50,49,1
AdMe,Group Long,A,01, 53001, 51,49,2
AdMe,Group Long,A,01, 53352, 49,49,0
AdMe,Group Long,A,01, 54401, 53,49,4
AdMe,Group Long,A,01, 54751, 48,49,-1
AdMe,Group Long,A,01, 55750, 57,49,8
AdMe,Group Long,A,01, 56100, 47,49,-2
AdMe,Group Long,A,01, 57017, 51,49,2
AdMe,Group Long,A,01, 57367, 46,49,-3
AdMe,Group Long,A,01, 58300, 46,49,-3
AdMe,Group Long,A,01, 58650, 52,49,3
AdMe,Group Long,A,01, 59600, 52,49,3
AdMe,Group Long,A,01, 59951, 49,49,0
AdMe,Group Long,A,01, 60951, 50,49,1
AdMe,Group Long,A,01, 61284, 48,49,-1
AdMe,Group Long,A,01, 62258, 53,49,4
AdMe,Group Long,A,01, 62619, 43,49,-6
AdMe,Group Long,A,01, 63585, 48,49,-1
AdMe,Group Long,A,01, 63935, 46,49,-3
AdMe,Group Long,A,01, 64868, 46,49,-3
AdMe,Group Long,A,01, 65218, 45,49,-4
AdMe,Group Long,A,01, 66202, 46,49,-3
AdMe,Group Long,A,01, 66535, 42,49,-7
AdMe,Group Long,A,01, 67552, 47,49,-2
AdMe,Group Long,A,01, 67901, 44,49,-5
AdMe,Group Long,A,01, 68885, 48,49,-1
AdMe,Group Long,A,01, 69235, 45,49,-4
AdMe,Group Long,A,01, 70285, 47,49,-2
AdMe,Group Long,A,01, 70635, 43,49,-6
AdMe,Group Long,A,01, 71669, 52,49,3
AdMe,Group Long,A,01, 72002, 47,49,-2
AdMe,Group Long,A,01, 73085, 49,49,0
AdMe,Group Long,A,01, 73418, 47,49,-2
AdMe,Group Long,A,01, 74485, 46,49,-3
AdMe,Group Long,A,01, 74836, 42,49,-7
AdMe,Group Long,A,01, 75819, 43,49,-6
AdMe,Group Long,A,01, 76169, 43,49,-6
AdMe,Group Long,A,01, 77169, 44,49,-5
AdMe,Group Long,A,01, 77519, 46,49,-3
AdMe,Group Long,A,01, 78452, 42,49,-7
AdMe,Group Long,A,01, 78786, 48,49,-1
AdMe,Group Long,A,01, 79752, 40,49,-9
AdMe,Group Long,A,01, 80102, 46,49,-3
AdMe,Group Long,A,01, 81086, 44,49,-5
AdMe,Group Long,A,01, 81419, 45,49,-4
AdMe,Group Long,A,01, 82386, 48,49,-1
AdMe,Group Long,A,01, 82736, 46,49,-3
AdMe,Group Long,A,01, 83719, 50,49,1
AdMe,Group Long,A,01, 84069, 49,49,0
AdMe,Group Long,A,01, 85052, 41,49,-8
AdMe,Group Long,A,01, 85402, 43,49,-6
AdMe,Group Long,A,01, 86469, 45,49,-4
AdMe,Group Long,A,01, 86769, 45,49,-4
AdMe,Group Long,A,01, 87753, 45,49,-4
AdMe,Group Long,A,01, 88403, 38,49,-11
AdMe,Group Long,A,01, 89453, 43,49,-6
AdMe,Group Long,A,01, 89803, 45,49,-4
AdMe,Group Long,A,01, 90788, 46,49,-3
AdMe,Group Long,A,01, 91120, 42,49,-7
AdMe,Group Long,A,01, 92186, 45,49,-4
AdMe,Group Long,A,01, 92570, 45,49,-4
AdMe,Group Long,A,01, 93620, 41,49,-8
AdMe,Group Long,A,01, 93970, 45,49,-4
AdMe,Group Long,A,01, 95003, 45,49,-4
AdMe,Group Long,A,01, 95370, 46,49,-3
AdMe,Group Long,A,01, 96403, 45,49,-4
AdMe,Group Long,A,01, 96753, 45,49,-4
AdMe,Group Long,A,01, 97787, 44,49,-5
AdMe,Group Long,A,01, 98120, 47,49,-2
AdMe,Group Long,A,01, 99120, 47,49,-2
AdMe,Group Long,A,01, 99470, 44,49,-5
AdMe,Group Long,A,01, 100436, 47,49,-2
AdMe,Group Long,A,01, 100787, 43,49,-6
AdMe,Group Long,A,01, 101770, 41,49,-8
AdMe,Group Long,A,01, 102104, 42,49,-7
AdMe,Group Long,A,01, 103070, 36,49,-13
AdMe,Group Long,A,01, 103420, 39,49,-10
AdMe,Group Long,A,01, 104369, 45,49,-4
AdMe,Group Long,A,01, 104720, 40,49,-9
AdMe,Group Long,A,01, 105686, 35,49,-14
AdMe,Group Long,A,01, 106053, 42,49,-7
AdMe,Group Long,A,01, 107020, 41,49,-8
AdMe,Group Long,A,01, 107371, 38,49,-11
AdMe,Group Long,A,01, 108321, 41,49,-8
AdMe,Group Long,A,01, 108687, 39,49,-10
AdMe,Group Long,A,01, 109637, 44,49,-5
AdMe,Group Long,A,01, 109988, 37,49,-12
AdMe,Group Long,A,01, 110954, 36,49,-13
AdMe,Group Long,A,01, 111304, 40,49,-9
AdMe,Group Long,A,01, 112254, 42,49,-7
AdMe,Group Long,A,01, 112605, 38,49,-11
AdMe,Group Long,A,01, 113537, 41,49,-8
AdMe,Group Long,A,01, 113871, 44,49,-5
AdMe,Group Long,A,01, 114820, 42,49,-7
AdMe,Group Long,A,01, 115153, 44,49,-5
AdMe,Group Long,A,01, 116137, 37,49,-12
AdMe,Group Long,A,01, 116470, 46,49,-3
AdMe,Group Long,A,01, 117420, 39,49,-10
AdMe,Group Long,A,01, 117754, 39,49,-10
AdMe,Group Long,A,01, 118720, 41,49,-8
AdMe,Group Long,A,01, 119054, 41,49,-8
AdMe,Group Long,A,01, 120037, 40,49,-9
AdMe,Group Long,A,01, 120371, 44,49,-5
AdMe,Group Long,A,01, 121371, 41,49,-8
AdMe,Group Long,A,01, 121722, 40,49,-9
AdMe,Group Long,A,01, 122705, 42,49,-7
AdMe,Group Long,A,01, 123038, 38,49,-11
AdMe,Group Long,A,01, 123971, 36,49,-13
AdMe,Group Long,A,01, 124322, 45,49,-4
AdMe,Group Long,A,01, 125288, 48,49,-1
AdMe,Group Long,A,01, 125655, 43,49,-6
AdMe,Group Long,A,01, 126555, 42,49,-7
AdMe,Group Long,A,01, 126922, 42,49,-7
AdMe,Group Long,A,01, 127805, 39,49,-10
AdMe,Group Long,A,01, 128172, 39,49,-10
AdMe,Group Long,A,01, 129105, 44,49,-5
AdMe,Group Long,A,01, 129438, 43,49,-6
AdMe,Group Long,A,01, 130405, 37,49,-12
AdMe,Group Long,A,01, 130772, 48,49,-1
AdMe,Group Long,A,01, 131839, 46,49,-3
AdMe,Group Long,A,01, 132189, 50,49,1
